Business,Service,Restaurants,"Restaurants
PLUS","Restaurants
PREMIER"
Resturant,Accounts Receivable*,N/A,"$25,000 On/Off Premises","$150,000-$250,000  
Blanket Limit"
Resturant,"Business Income From  
Dependent Properties*",N/A,"$25,000 ","$150,000-$250,000  
Blanket Limit"
Resturant,Electronic Data*,N/A,"$10,000 ","$150,000-$250,000  
Blanket Limit"
Resturant,Forgery or Alteration*,N/A,"$5,000 ","$150,000-$250,000  
Blanket Limit"
Resturant,Money Orders and Counterfeit Moneyù,N/A,"$2,500 ","$150,000-$250,000  
Blanket Limit"
Resturant,Outdoor Signs*,N/A,"$10,000 ","$150,000-$250,000  
Blanket Limit"
Resturant,Personal Property Off-Premises*,N/A,"$15,000 ","$150,000-$250,000  
Blanket Limit"
Resturant,Valuable Papers and Records*,N/A,"$25,000 On/Off Premises","$150,000-$250,000  
Blanket Limit"
Resturant,Debris Removal,N/A,"$25,000 ","$50,000 "
Resturant,Personal Effects,N/A,"$25,000 ","$50,000 "
Resturant,Extended Business Income*,N/A,60 consecutive days,60 consecutive days
Resturant,Newly Constructed/Acquired - Buildings,N/A,"$1,000,000 ","$1,000,000 "
Resturant,"Newly Constructed/Acquired -  
Business Personal",N/A,"$500,000 ","$500,000 "
Resturant,Preservation Of Property,N/A,Within 45 days,Within 45 days
Resturant,Brands and Labels,Included,Included,Included
Resturant,"Business Income: Newly Constructed/ 
Acquired Premises",N/A,"$500,000 ","$500,000 "
Resturant,Business Income: Ordinary Payroll,N/A,Flexible,Flexible
Resturant,Business Income For Websites,N/A,"$50,000 occurrence 
$100,000 Policy Period 
7 day","$50,000 occurrence 
$100,000 Policy Period 
7 day"
Resturant,Checked Coats and Bags,N/A,"$50,000 occurrence 
$100,000 Policy Period 
$5,000 any one customer","$50,000 occurrence 
$100,000 Policy Period 
$5,000 any one customer"
Resturant,Claim Expenses,N/A,"$10,000 ","$10,000 "
Resturant,Computer Fraud & Funds Transfer Fraud*,N/A,"$5,000 ","$5,000 "
Resturant,Credit Card Slips,"$10,000 ","$10,000 ","$10,000 "
Resturant,Delivery Errors and Omissions Coverage,"$10,000 ","$10,000 ","$10,000 "
Resturant,Employee Dishonesty,Customer‚Äôs Property Included,"Customer‚Äôs Property Included 
ERISA Coverage","Customers Property Included 
ERISA Coverage"
Resturant,Fine Arts*,"$25,000 ","$25,000 ","$25,000 "
Resturant,Food Contamination,"$10,000 Expenses / BI     
$3,000 Advertising Expense","$10,000 Expenses / BI     
$3,000 Advertising Expense","$10,000 Expenses / BI     
$3,000 Advertising Expense"
Resturant,Identity Fraud Expense Coverage,N/A,"$25,000 ","$25,000 "
Resturant,"Increase in Rebuilding Expense  
Following Disaster",N/A,N/A,"$10,000 "
Resturant,Lock Replacement,"$1,000 ","$1,000 ","$1,000 "
Resturant,"Merchandise Withdrawal Expenses 
Coverage","$25,000 ","$25,000 ","$25,000 "
Resturant,Money and Securities*,N/A,"$10,000 On Premises 
$5,000 Off Premises","$10,000 On Premises 
$5,000 Off Premises"
Resturant,"Off-Premises Interruption of Business - 
Vehicle & Mobile Equipment",N/A,N/A,"$10,000 "
Resturant,Ordinance or Law - Equipment Coverage,Included,Included,Included
Resturant,Outdoor Property,General  BOP,"$10,000 / $30,000 /  
$25,000 /$80,000","$10,000 / $30,000 /  
$25,000 /$80,000"
Resturant,Products-completed Operations Hazard,N/A,Expanded,Expanded
Resturant,Reward Payment**,"$5,000 Information 
$5,000 Return of Property","$5,000 Information 
$5,000 Return of Property","$5,000 Information 
$5,000 Return of Property"
Resturant,Spoilage*,"$10,000 ","$10,000 ","$10,000 "
Resturant,Utility Services - Direct Damage*,N/A,"$10,000 ","$25,000 "
Resturant,Utility Services - Time Element*,N/A,"$10,000 ","$25,000 "
Resturant,Water Back-up and Sump Overflow*,N/A,"$5,000 Covered Property 
$5,000 Business Income & 
Extra Expense","$10,000 Covered Property 
$10,000 Business Income & 
Extra Expense"
